onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
29.3507	0.0001	293508	Stimulus	S  1
29.4627	0.0001	294628	Stimulus	S  8
29.4827	0.0001	294828	Stimulus	S  4
29.5027	0.0001	295028	Stimulus	S  4
29.5227	0.0001	295228	Stimulus	S  4
29.5427	0.0001	295428	Stimulus	S  4
29.5627	0.0001	295628	Stimulus	S  4
29.5827	0.0001	295828	Stimulus	S  4
29.6027	0.0001	296028	Stimulus	S  4
29.6227	0.0001	296228	Stimulus	S  4
63.8324	0.0001	638325	Stimulus	S  2
69.7531	0.0001	697532	Stimulus	S  1
69.8651	0.0001	698652	Stimulus	S  4
69.8851	0.0001	698852	Stimulus	S  4
69.9051	0.0001	699052	Stimulus	S  4
69.9251	0.0001	699252	Stimulus	S  4
69.9451	0.0001	699452	Stimulus	S  4
69.9651	0.0001	699652	Stimulus	S  4
69.9851	0.0001	699852	Stimulus	S  4
70.0051	0.0001	700052	Stimulus	S  4
70.0251	0.0001	700252	Stimulus	S  8
106.2309	0.0001	1062310	Stimulus	S  2
109.6936	0.0001	1096937	Stimulus	S  1
109.8056	0.0001	1098057	Stimulus	S  8
109.8256	0.0001	1098257	Stimulus	S  4
109.8456	0.0001	1098457	Stimulus	S  4
109.8656	0.0001	1098657	Stimulus	S  4
109.8856	0.0001	1098857	Stimulus	S  4
109.9056	0.0001	1099057	Stimulus	S  4
109.9256	0.0001	1099257	Stimulus	S  4
109.9456	0.0001	1099457	Stimulus	S  8
109.9656	0.0001	1099657	Stimulus	S  4
146.1714	0.0001	1461715	Stimulus	S  2
152.5001	0.0001	1525002	Stimulus	S  1
152.6141	0.0001	1526142	Stimulus	S  8
152.6341	0.0001	1526342	Stimulus	S  4
152.6541	0.0001	1526542	Stimulus	S  4
152.6741	0.0001	1526742	Stimulus	S  4
152.6941	0.0001	1526942	Stimulus	S  4
152.7141	0.0001	1527142	Stimulus	S  4
152.7341	0.0001	1527342	Stimulus	S  4
152.7541	0.0001	1527542	Stimulus	S  8
152.7741	0.0001	1527742	Stimulus	S  8
180.9818	0.0001	1809819	Stimulus	S  2
184.0065	0.0001	1840066	Stimulus	S  1
184.1145	0.0001	1841146	Stimulus	S  4
184.1345	0.0001	1841346	Stimulus	S  4
184.1545	0.0001	1841546	Stimulus	S  4
184.1745	0.0001	1841746	Stimulus	S  4
184.1945	0.0001	1841946	Stimulus	S  4
184.2145	0.0001	1842146	Stimulus	S  4
184.2345	0.0001	1842346	Stimulus	S  8
184.2545	0.0001	1842546	Stimulus	S  4
184.2745	0.0001	1842746	Stimulus	S  4
214.4842	0.0001	2144843	Stimulus	S  2
217.0349	0.0001	2170350	Stimulus	S  1
217.1469	0.0001	2171470	Stimulus	S  4
217.1669	0.0001	2171670	Stimulus	S  4
217.1869	0.0001	2171870	Stimulus	S  4
217.2069	0.0001	2172070	Stimulus	S  4
217.2269	0.0001	2172270	Stimulus	S  4
217.2469	0.0001	2172470	Stimulus	S  4
217.2669	0.0001	2172670	Stimulus	S  8
217.2869	0.0001	2172870	Stimulus	S  4
217.3069	0.0001	2173070	Stimulus	S  8
247.5126	0.0001	2475127	Stimulus	S  2
252.3753	0.0001	2523754	Stimulus	S  1
252.4833	0.0001	2524834	Stimulus	S  8
252.5033	0.0001	2525034	Stimulus	S  4
252.5233	0.0001	2525234	Stimulus	S  4
252.5433	0.0001	2525434	Stimulus	S  4
252.5633	0.0001	2525634	Stimulus	S  4
252.5833	0.0001	2525834	Stimulus	S  4
252.6033	0.0001	2526034	Stimulus	S  8
252.6233	0.0001	2526234	Stimulus	S  8
252.6433	0.0001	2526434	Stimulus	S  4
282.853	0.0001	2828531	Stimulus	S  2
