onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
44.4883	0.0001	444884	Stimulus	S  1
44.5963	0.0001	445964	Stimulus	S  8
44.6163	0.0001	446164	Stimulus	S  4
44.6363	0.0001	446364	Stimulus	S  4
44.6563	0.0001	446564	Stimulus	S  4
44.6763	0.0001	446764	Stimulus	S  4
44.6963	0.0001	446964	Stimulus	S  4
44.7163	0.0001	447164	Stimulus	S  4
44.7363	0.0001	447364	Stimulus	S  4
44.7563	0.0001	447564	Stimulus	S  4
84.9661	0.0001	849662	Stimulus	S  2
90.0288	0.0001	900289	Stimulus	S  1
90.1468	0.0001	901469	Stimulus	S  4
90.1668	0.0001	901669	Stimulus	S  4
90.1868	0.0001	901869	Stimulus	S  4
90.2068	0.0001	902069	Stimulus	S  4
90.2268	0.0001	902269	Stimulus	S  4
90.2468	0.0001	902469	Stimulus	S  4
90.2668	0.0001	902669	Stimulus	S  4
90.2868	0.0001	902869	Stimulus	S  4
90.3068	0.0001	903069	Stimulus	S  8
122.5065	0.0001	1225066	Stimulus	S  2
127.0732	0.0001	1270733	Stimulus	S  1
127.1812	0.0001	1271813	Stimulus	S  8
127.2012	0.0001	1272013	Stimulus	S  4
127.2212	0.0001	1272213	Stimulus	S  4
127.2412	0.0001	1272413	Stimulus	S  4
127.2612	0.0001	1272613	Stimulus	S  4
127.2812	0.0001	1272813	Stimulus	S  4
127.3012	0.0001	1273013	Stimulus	S  4
127.3212	0.0001	1273213	Stimulus	S  8
127.3412	0.0001	1273413	Stimulus	S  4
155.5549	0.0001	1555550	Stimulus	S  2
168.5917	0.0001	1685918	Stimulus	S  1
168.6977	0.0001	1686978	Stimulus	S  4
168.7177	0.0001	1687178	Stimulus	S  4
168.7377	0.0001	1687378	Stimulus	S  4
168.7577	0.0001	1687578	Stimulus	S  4
168.7777	0.0001	1687778	Stimulus	S  4
168.7977	0.0001	1687978	Stimulus	S  4
168.8177	0.0001	1688178	Stimulus	S  4
168.8377	0.0001	1688378	Stimulus	S  8
168.8577	0.0001	1688578	Stimulus	S  8
209.0695	0.0001	2090696	Stimulus	S  2
211.1582	0.0001	2111583	Stimulus	S  1
211.2702	0.0001	2112703	Stimulus	S  8
211.2902	0.0001	2112903	Stimulus	S  4
211.3102	0.0001	2113103	Stimulus	S  4
211.3302	0.0001	2113303	Stimulus	S  4
211.3502	0.0001	2113503	Stimulus	S  4
211.3702	0.0001	2113703	Stimulus	S  4
211.3902	0.0001	2113903	Stimulus	S  8
211.4102	0.0001	2114103	Stimulus	S  4
211.4302	0.0001	2114303	Stimulus	S  4
245.5146	0.0001	2455147	Stimulus	S  2
248.6446	0.0001	2486447	Stimulus	S  1
248.7606	0.0001	2487607	Stimulus	S  8
248.7806	0.0001	2487807	Stimulus	S  4
248.8006	0.0001	2488007	Stimulus	S  4
248.8207	0.0001	2488208	Stimulus	S  4
248.8406	0.0001	2488407	Stimulus	S  4
248.8607	0.0001	2488608	Stimulus	S  4
248.8807	0.0001	2488808	Stimulus	S  8
248.9007	0.0001	2489008	Stimulus	S  4
248.9207	0.0001	2489208	Stimulus	S  8
279.1223	0.0001	2791224	Stimulus	S  2
282.155	0.0001	2821551	Stimulus	S  1
282.263	0.0001	2822631	Stimulus	S  4
282.283	0.0001	2822831	Stimulus	S  4
282.303	0.0001	2823031	Stimulus	S  4
282.323	0.0001	2823231	Stimulus	S  4
282.343	0.0001	2823431	Stimulus	S  4
282.363	0.0001	2823631	Stimulus	S  4
282.383	0.0001	2823831	Stimulus	S  8
282.403	0.0001	2824031	Stimulus	S  8
282.423	0.0001	2824231	Stimulus	S  4
314.6327	0.0001	3146328	Stimulus	S  2
326.1615	0.0001	3261616	Stimulus	S  1
326.2676	0.0001	3262677	Stimulus	S  4
326.2876	0.0001	3262877	Stimulus	S  4
326.3076	0.0001	3263077	Stimulus	S  4
326.3276	0.0001	3263277	Stimulus	S  4
326.3476	0.0001	3263477	Stimulus	S  4
326.3676	0.0001	3263677	Stimulus	S  4
326.3876	0.0001	3263877	Stimulus	S  8
326.4076	0.0001	3264077	Stimulus	S  8
326.4276	0.0001	3264277	Stimulus	S  8
369.1394	0.0001	3691395	Stimulus	S  2
374.1461	0.0001	3741462	Stimulus	S  1
374.2521	0.0001	3742522	Stimulus	S  8
374.2721	0.0001	3742722	Stimulus	S  4
374.2921	0.0001	3742922	Stimulus	S  4
374.3121	0.0001	3743122	Stimulus	S  4
374.3321	0.0001	3743322	Stimulus	S  4
374.3521	0.0001	3743522	Stimulus	S  8
374.3721	0.0001	3743722	Stimulus	S  4
374.3921	0.0001	3743922	Stimulus	S  4
374.4121	0.0001	3744122	Stimulus	S  4
406.6238	0.0001	4066239	Stimulus	S  2
409.6865	0.0001	4096866	Stimulus	S  1
409.7985	0.0001	4097986	Stimulus	S  8
409.8185	0.0001	4098186	Stimulus	S  4
409.8385	0.0001	4098386	Stimulus	S  4
409.8585	0.0001	4098586	Stimulus	S  4
409.8785	0.0001	4098786	Stimulus	S  4
409.8985	0.0001	4098986	Stimulus	S  8
409.9185	0.0001	4099186	Stimulus	S  4
409.9385	0.0001	4099386	Stimulus	S  4
409.9585	0.0001	4099586	Stimulus	S  8
440.9175	0.0001	4409176	Stimulus	S  2
447.203	0.0001	4472031	Stimulus	S  1
447.311	0.0001	4473111	Stimulus	S  4
447.331	0.0001	4473311	Stimulus	S  4
447.351	0.0001	4473511	Stimulus	S  4
447.371	0.0001	4473711	Stimulus	S  4
447.391	0.0001	4473911	Stimulus	S  4
447.411	0.0001	4474111	Stimulus	S  8
447.431	0.0001	4474311	Stimulus	S  4
