onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
8.542	0.0001	85421	Stimulus	S  1
8.648	0.0001	86481	Stimulus	S  4
8.668	0.0001	86681	Stimulus	S  4
8.688	0.0001	86881	Stimulus	S  4
8.708	0.0001	87081	Stimulus	S  4
8.728	0.0001	87281	Stimulus	S  4
8.748	0.0001	87481	Stimulus	S  4
8.768	0.0001	87681	Stimulus	S  4
8.788	0.0001	87881	Stimulus	S  4
8.808	0.0001	88081	Stimulus	S  4
49.0198	0.0001	490199	Stimulus	S  2
53.0005	0.0001	530006	Stimulus	S  1
53.1085	0.0001	531086	Stimulus	S  4
53.1285	0.0001	531286	Stimulus	S  4
53.1485	0.0001	531486	Stimulus	S  4
53.1685	0.0001	531686	Stimulus	S  4
53.1885	0.0001	531886	Stimulus	S  4
53.2085	0.0001	532086	Stimulus	S  4
53.2285	0.0001	532286	Stimulus	S  4
53.2485	0.0001	532486	Stimulus	S  4
53.2685	0.0001	532686	Stimulus	S  8
83.4782	0.0001	834783	Stimulus	S  2
90.513	0.0001	905131	Stimulus	S  1
90.621	0.0001	906211	Stimulus	S  8
90.641	0.0001	906411	Stimulus	S  4
90.661	0.0001	906611	Stimulus	S  4
90.681	0.0001	906811	Stimulus	S  4
90.701	0.0001	907011	Stimulus	S  4
90.721	0.0001	907211	Stimulus	S  4
90.741	0.0001	907411	Stimulus	S  4
90.761	0.0001	907611	Stimulus	S  8
90.781	0.0001	907811	Stimulus	S  4
126.9907	0.0001	1269908	Stimulus	S  2
129.4574	0.0001	1294575	Stimulus	S  1
129.5734	0.0001	1295735	Stimulus	S  8
129.5934	0.0001	1295935	Stimulus	S  4
129.6134	0.0001	1296135	Stimulus	S  4
129.6334	0.0001	1296335	Stimulus	S  4
129.6534	0.0001	1296535	Stimulus	S  4
129.6734	0.0001	1296735	Stimulus	S  4
129.6934	0.0001	1296935	Stimulus	S  4
129.7134	0.0001	1297135	Stimulus	S  8
129.7334	0.0001	1297335	Stimulus	S  8
164.1885	0.0001	1641886	Stimulus	S  2
167.0299	0.0001	1670300	Stimulus	S  1
167.1319	0.0001	1671320	Stimulus	S  8
167.1519	0.0001	1671520	Stimulus	S  4
167.1719	0.0001	1671720	Stimulus	S  4
167.1919	0.0001	1671920	Stimulus	S  4
167.2119	0.0001	1672120	Stimulus	S  4
167.2319	0.0001	1672320	Stimulus	S  4
167.2519	0.0001	1672520	Stimulus	S  8
167.2719	0.0001	1672720	Stimulus	S  4
167.2919	0.0001	1672920	Stimulus	S  4
199.5076	0.0001	1995077	Stimulus	S  2
204.5403	0.0001	2045404	Stimulus	S  1
204.6483	0.0001	2046484	Stimulus	S  4
204.6683	0.0001	2046684	Stimulus	S  4
204.6883	0.0001	2046884	Stimulus	S  4
204.7083	0.0001	2047084	Stimulus	S  4
204.7283	0.0001	2047284	Stimulus	S  4
204.7483	0.0001	2047484	Stimulus	S  4
204.7683	0.0001	2047684	Stimulus	S  8
204.7883	0.0001	2047884	Stimulus	S  4
204.8083	0.0001	2048084	Stimulus	S  8
241.0181	0.0001	2410182	Stimulus	S  2
243.6188	0.0001	2436189	Stimulus	S  1
