onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
21.5155	0.0001	215156	Stimulus	S  1
21.6215	0.0001	216216	Stimulus	S  4
21.6415	0.0001	216416	Stimulus	S  4
21.6615	0.0001	216616	Stimulus	S  4
21.6815	0.0001	216816	Stimulus	S  4
21.7015	0.0001	217016	Stimulus	S  4
21.7215	0.0001	217216	Stimulus	S  4
21.7415	0.0001	217416	Stimulus	S  4
21.7615	0.0001	217616	Stimulus	S  4
21.7815	0.0001	217816	Stimulus	S  4
51.9932	0.0001	519933	Stimulus	S  2
61.216	0.0001	612161	Stimulus	S  1
61.33	0.0001	613301	Stimulus	S  8
61.35	0.0001	613501	Stimulus	S  4
61.37	0.0001	613701	Stimulus	S  4
61.39	0.0001	613901	Stimulus	S  4
61.41	0.0001	614101	Stimulus	S  4
61.43	0.0001	614301	Stimulus	S  4
61.45	0.0001	614501	Stimulus	S  4
61.47	0.0001	614701	Stimulus	S  4
61.49	0.0001	614901	Stimulus	S  8
89.6977	0.0001	896978	Stimulus	S  2
96.7284	0.0001	967285	Stimulus	S  1
96.8364	0.0001	968365	Stimulus	S  8
96.8564	0.0001	968565	Stimulus	S  4
96.8764	0.0001	968765	Stimulus	S  4
96.8964	0.0001	968965	Stimulus	S  4
96.9164	0.0001	969165	Stimulus	S  4
96.9364	0.0001	969365	Stimulus	S  4
96.9564	0.0001	969565	Stimulus	S  4
96.9764	0.0001	969765	Stimulus	S  8
96.9964	0.0001	969965	Stimulus	S  4
131.2101	0.0001	1312102	Stimulus	S  2
138.2429	0.0001	1382430	Stimulus	S  1
138.3509	0.0001	1383510	Stimulus	S  4
138.3709	0.0001	1383710	Stimulus	S  4
138.3909	0.0001	1383910	Stimulus	S  4
138.4109	0.0001	1384110	Stimulus	S  4
138.4309	0.0001	1384310	Stimulus	S  4
138.4509	0.0001	1384510	Stimulus	S  4
138.4709	0.0001	1384710	Stimulus	S  4
138.4909	0.0001	1384910	Stimulus	S  8
138.5109	0.0001	1385110	Stimulus	S  8
178.7207	0.0001	1787208	Stimulus	S  2
183.7174	0.0001	1837175	Stimulus	S  1
183.8314	0.0001	1838315	Stimulus	S  4
183.8514	0.0001	1838515	Stimulus	S  4
183.8714	0.0001	1838715	Stimulus	S  4
183.8914	0.0001	1838915	Stimulus	S  4
183.9114	0.0001	1839115	Stimulus	S  4
183.9314	0.0001	1839315	Stimulus	S  4
183.9514	0.0001	1839515	Stimulus	S  8
183.9714	0.0001	1839715	Stimulus	S  4
183.9914	0.0001	1839915	Stimulus	S  4
214.1951	0.0001	2141952	Stimulus	S  2
219.6839	0.0001	2196840	Stimulus	S  1
219.7959	0.0001	2197960	Stimulus	S  4
219.8159	0.0001	2198160	Stimulus	S  4
219.8359	0.0001	2198360	Stimulus	S  4
219.8559	0.0001	2198560	Stimulus	S  4
219.8759	0.0001	2198760	Stimulus	S  4
219.8959	0.0001	2198960	Stimulus	S  4
219.9159	0.0001	2199160	Stimulus	S  8
219.9359	0.0001	2199360	Stimulus	S  4
219.9559	0.0001	2199560	Stimulus	S  8
250.1615	0.0001	2501616	Stimulus	S  2
252.0402	0.0001	2520403	Stimulus	S  1
252.1522	0.0001	2521523	Stimulus	S  4
252.1722	0.0001	2521723	Stimulus	S  4
252.1922	0.0001	2521923	Stimulus	S  4
252.2122	0.0001	2522123	Stimulus	S  4
252.2322	0.0001	2522323	Stimulus	S  4
252.2522	0.0001	2522523	Stimulus	S  4
252.2722	0.0001	2522723	Stimulus	S  8
252.2922	0.0001	2522923	Stimulus	S  8
252.3122	0.0001	2523123	Stimulus	S  4
282.5179	0.0001	2825180	Stimulus	S  2
289.5447	0.0001	2895448	Stimulus	S  1
289.6507	0.0001	2896508	Stimulus	S  4
289.6707	0.0001	2896708	Stimulus	S  4
289.6907	0.0001	2896908	Stimulus	S  4
289.7107	0.0001	2897108	Stimulus	S  4
289.7307	0.0001	2897308	Stimulus	S  4
289.7507	0.0001	2897508	Stimulus	S  4
289.7707	0.0001	2897708	Stimulus	S  8
289.7907	0.0001	2897908	Stimulus	S  8
289.8107	0.0001	2898108	Stimulus	S  8
326.0224	0.0001	3260225	Stimulus	S  2
330.1532	0.0001	3301533	Stimulus	S  1
330.2612	0.0001	3302613	Stimulus	S  8
330.2812	0.0001	3302813	Stimulus	S  4
330.3012	0.0001	3303013	Stimulus	S  4
330.3212	0.0001	3303213	Stimulus	S  4
330.3412	0.0001	3303413	Stimulus	S  4
330.3612	0.0001	3303613	Stimulus	S  8
330.3812	0.0001	3303813	Stimulus	S  4
330.4012	0.0001	3304013	Stimulus	S  4
330.4212	0.0001	3304213	Stimulus	S  4
359.1348	0.0001	3591349	Stimulus	S  2
367.6596	0.0001	3676597	Stimulus	S  1
367.7656	0.0001	3677657	Stimulus	S  8
367.7856	0.0001	3677857	Stimulus	S  4
367.8056	0.0001	3678057	Stimulus	S  4
367.8256	0.0001	3678257	Stimulus	S  4
367.8456	0.0001	3678457	Stimulus	S  4
367.8656	0.0001	3678657	Stimulus	S  8
367.8856	0.0001	3678857	Stimulus	S  4
367.9056	0.0001	3679057	Stimulus	S  4
367.9256	0.0001	3679257	Stimulus	S  8
404.1374	0.0001	4041375	Stimulus	S  2
409.7601	0.0001	4097602	Stimulus	S  1
409.8701	0.0001	4098702	Stimulus	S  8
409.8901	0.0001	4098902	Stimulus	S  4
409.9101	0.0001	4099102	Stimulus	S  4
409.9301	0.0001	4099302	Stimulus	S  4
409.9501	0.0001	4099502	Stimulus	S  4
409.9701	0.0001	4099702	Stimulus	S  8
