onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
5.9503	0.0001	59504	Stimulus	S  1
6.0543	0.0001	60544	Stimulus	S  8
6.0743	0.0001	60744	Stimulus	S  4
6.0943	0.0001	60944	Stimulus	S  4
6.1143	0.0001	61144	Stimulus	S  4
6.1343	0.0001	61344	Stimulus	S  4
6.1543	0.0001	61544	Stimulus	S  4
6.1743	0.0001	61744	Stimulus	S  4
6.1943	0.0001	61944	Stimulus	S  4
6.2143	0.0001	62144	Stimulus	S  4
42.4281	0.0001	424282	Stimulus	S  2
45.4188	0.0001	454189	Stimulus	S  1
45.5348	0.0001	455349	Stimulus	S  4
45.5548	0.0001	455549	Stimulus	S  4
45.5748	0.0001	455749	Stimulus	S  4
45.5948	0.0001	455949	Stimulus	S  4
45.6148	0.0001	456149	Stimulus	S  4
45.6348	0.0001	456349	Stimulus	S  4
45.6548	0.0001	456549	Stimulus	S  4
45.6748	0.0001	456749	Stimulus	S  4
45.6948	0.0001	456949	Stimulus	S  8
81.8965	0.0001	818966	Stimulus	S  2
84.5212	0.0001	845213	Stimulus	S  1
84.6272	0.0001	846273	Stimulus	S  8
84.6472	0.0001	846473	Stimulus	S  4
84.6672	0.0001	846673	Stimulus	S  4
84.6872	0.0001	846873	Stimulus	S  4
84.7072	0.0001	847073	Stimulus	S  4
84.7272	0.0001	847273	Stimulus	S  4
84.7472	0.0001	847473	Stimulus	S  4
84.7672	0.0001	847673	Stimulus	S  8
84.7872	0.0001	847873	Stimulus	S  4
116.999	0.0001	1169991	Stimulus	S  2
120.4637	0.0001	1204638	Stimulus	S  1
120.5677	0.0001	1205678	Stimulus	S  8
120.5877	0.0001	1205878	Stimulus	S  4
120.6077	0.0001	1206078	Stimulus	S  4
120.6277	0.0001	1206278	Stimulus	S  4
120.6477	0.0001	1206478	Stimulus	S  4
120.6677	0.0001	1206678	Stimulus	S  4
120.6877	0.0001	1206878	Stimulus	S  4
120.7077	0.0001	1207078	Stimulus	S  8
120.7277	0.0001	1207278	Stimulus	S  8
155.1947	0.0001	1551948	Stimulus	S  2
157.7261	0.0001	1577262	Stimulus	S  1
157.8281	0.0001	1578282	Stimulus	S  8
157.8481	0.0001	1578482	Stimulus	S  4
157.8681	0.0001	1578682	Stimulus	S  4
157.8881	0.0001	1578882	Stimulus	S  4
157.9081	0.0001	1579082	Stimulus	S  4
157.9281	0.0001	1579282	Stimulus	S  4
157.9481	0.0001	1579482	Stimulus	S  8
157.9681	0.0001	1579682	Stimulus	S  4
157.9881	0.0001	1579882	Stimulus	S  4
190.9572	0.0001	1909573	Stimulus	S  2
195.2285	0.0001	1952286	Stimulus	S  1
195.3345	0.0001	1953346	Stimulus	S  4
195.3545	0.0001	1953546	Stimulus	S  4
195.3745	0.0001	1953746	Stimulus	S  4
195.3945	0.0001	1953946	Stimulus	S  4
195.4145	0.0001	1954146	Stimulus	S  4
195.4345	0.0001	1954346	Stimulus	S  4
195.4545	0.0001	1954546	Stimulus	S  8
195.4745	0.0001	1954746	Stimulus	S  4
195.4945	0.0001	1954946	Stimulus	S  8
231.7063	0.0001	2317064	Stimulus	S  2
234.335	0.0001	2343351	Stimulus	S  1
234.445	0.0001	2344451	Stimulus	S  8
234.465	0.0001	2344651	Stimulus	S  4
234.485	0.0001	2344851	Stimulus	S  4
234.505	0.0001	2345051	Stimulus	S  4
234.525	0.0001	2345251	Stimulus	S  4
234.545	0.0001	2345451	Stimulus	S  4
234.565	0.0001	2345651	Stimulus	S  8
234.585	0.0001	2345851	Stimulus	S  8
234.605	0.0001	2346051	Stimulus	S  4
