onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
65.132	0.0001	651321	Stimulus	S  1
65.244	0.0001	652441	Stimulus	S  8
65.264	0.0001	652641	Stimulus	S  4
65.284	0.0001	652841	Stimulus	S  4
65.304	0.0001	653041	Stimulus	S  4
65.324	0.0001	653241	Stimulus	S  4
65.344	0.0001	653441	Stimulus	S  4
65.364	0.0001	653641	Stimulus	S  4
65.384	0.0001	653841	Stimulus	S  4
65.404	0.0001	654041	Stimulus	S  4
94.363	0.0001	943631	Stimulus	S  2
106.8305	0.0001	1068306	Stimulus	S  1
106.9365	0.0001	1069366	Stimulus	S  8
106.9565	0.0001	1069566	Stimulus	S  4
106.9765	0.0001	1069766	Stimulus	S  4
106.9965	0.0001	1069966	Stimulus	S  4
107.0165	0.0001	1070166	Stimulus	S  4
107.0365	0.0001	1070366	Stimulus	S  4
107.0565	0.0001	1070566	Stimulus	S  4
107.0765	0.0001	1070766	Stimulus	S  4
107.0965	0.0001	1070966	Stimulus	S  8
143.3083	0.0001	1433084	Stimulus	S  2
147.581	0.0001	1475811	Stimulus	S  1
147.691	0.0001	1476911	Stimulus	S  4
147.711	0.0001	1477111	Stimulus	S  4
147.731	0.0001	1477311	Stimulus	S  4
147.751	0.0001	1477511	Stimulus	S  4
147.771	0.0001	1477711	Stimulus	S  4
147.791	0.0001	1477911	Stimulus	S  4
147.811	0.0001	1478111	Stimulus	S  4
147.831	0.0001	1478311	Stimulus	S  8
147.851	0.0001	1478511	Stimulus	S  4
178.0587	0.0001	1780588	Stimulus	S  2
187.8455	0.0001	1878456	Stimulus	S  1
187.9535	0.0001	1879536	Stimulus	S  8
187.9735	0.0001	1879736	Stimulus	S  4
187.9935	0.0001	1879936	Stimulus	S  4
188.0135	0.0001	1880136	Stimulus	S  4
188.0335	0.0001	1880336	Stimulus	S  4
188.0535	0.0001	1880536	Stimulus	S  4
188.0735	0.0001	1880736	Stimulus	S  4
188.0935	0.0001	1880936	Stimulus	S  8
188.1135	0.0001	1881136	Stimulus	S  8
227.0766	0.0001	2270767	Stimulus	S  2
232.548	0.0001	2325481	Stimulus	S  1
232.658	0.0001	2326581	Stimulus	S  4
232.678	0.0001	2326781	Stimulus	S  4
232.698	0.0001	2326981	Stimulus	S  4
232.718	0.0001	2327181	Stimulus	S  4
232.738	0.0001	2327381	Stimulus	S  4
232.758	0.0001	2327581	Stimulus	S  4
232.778	0.0001	2327781	Stimulus	S  8
232.798	0.0001	2327981	Stimulus	S  4
232.818	0.0001	2328181	Stimulus	S  4
263.0257	0.0001	2630258	Stimulus	S  2
266.3624	0.0001	2663625	Stimulus	S  1
266.4704	0.0001	2664705	Stimulus	S  4
266.4904	0.0001	2664905	Stimulus	S  4
266.5104	0.0001	2665105	Stimulus	S  4
266.5304	0.0001	2665305	Stimulus	S  4
266.5504	0.0001	2665505	Stimulus	S  4
266.5704	0.0001	2665705	Stimulus	S  4
266.5904	0.0001	2665905	Stimulus	S  8
266.6104	0.0001	2666105	Stimulus	S  4
266.6304	0.0001	2666305	Stimulus	S  8
296.8401	0.0001	2968402	Stimulus	S  2
309.8749	0.0001	3098750	Stimulus	S  1
309.9829	0.0001	3099830	Stimulus	S  4
310.0029	0.0001	3100030	Stimulus	S  4
310.0229	0.0001	3100230	Stimulus	S  4
310.0429	0.0001	3100430	Stimulus	S  4
310.0629	0.0001	3100630	Stimulus	S  4
310.0829	0.0001	3100830	Stimulus	S  4
310.1029	0.0001	3101030	Stimulus	S  8
310.1229	0.0001	3101230	Stimulus	S  8
310.1429	0.0001	3101430	Stimulus	S  4
352.3528	0.0001	3523529	Stimulus	S  2
354.4174	0.0001	3544175	Stimulus	S  1
354.5254	0.0001	3545255	Stimulus	S  4
354.5454	0.0001	3545455	Stimulus	S  4
354.5655	0.0001	3545656	Stimulus	S  4
354.5855	0.0001	3545856	Stimulus	S  4
354.6055	0.0001	3546056	Stimulus	S  4
354.6255	0.0001	3546256	Stimulus	S  4
354.6455	0.0001	3546456	Stimulus	S  8
