onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
16.3355	0.0001	163356	Stimulus	S  1
16.4535	0.0001	164536	Stimulus	S  8
16.4735	0.0001	164736	Stimulus	S  4
16.4935	0.0001	164936	Stimulus	S  4
16.5135	0.0001	165136	Stimulus	S  4
16.5335	0.0001	165336	Stimulus	S  4
16.5535	0.0001	165536	Stimulus	S  4
16.5735	0.0001	165736	Stimulus	S  4
16.5935	0.0001	165936	Stimulus	S  4
16.6135	0.0001	166136	Stimulus	S  4
47.5665	0.0001	475666	Stimulus	S  2
49.8459	0.0001	498460	Stimulus	S  1
49.9559	0.0001	499560	Stimulus	S  8
49.9759	0.0001	499760	Stimulus	S  4
49.9959	0.0001	499960	Stimulus	S  4
50.0159	0.0001	500160	Stimulus	S  4
50.0359	0.0001	500360	Stimulus	S  4
50.0559	0.0001	500560	Stimulus	S  4
50.0759	0.0001	500760	Stimulus	S  4
50.0959	0.0001	500960	Stimulus	S  4
50.1159	0.0001	501160	Stimulus	S  8
80.3236	0.0001	803237	Stimulus	S  2
87.3503	0.0001	873504	Stimulus	S  1
87.4563	0.0001	874564	Stimulus	S  4
87.4763	0.0001	874764	Stimulus	S  4
87.4963	0.0001	874964	Stimulus	S  4
87.5163	0.0001	875164	Stimulus	S  4
87.5363	0.0001	875364	Stimulus	S  4
87.5563	0.0001	875564	Stimulus	S  4
87.5763	0.0001	875764	Stimulus	S  4
87.5963	0.0001	875964	Stimulus	S  8
87.6163	0.0001	876164	Stimulus	S  4
123.8281	0.0001	1238282	Stimulus	S  2
126.6608	0.0001	1266609	Stimulus	S  1
126.7688	0.0001	1267689	Stimulus	S  4
126.7888	0.0001	1267889	Stimulus	S  4
126.8088	0.0001	1268089	Stimulus	S  4
126.8288	0.0001	1268289	Stimulus	S  4
126.8488	0.0001	1268489	Stimulus	S  4
126.8688	0.0001	1268689	Stimulus	S  4
126.8888	0.0001	1268889	Stimulus	S  4
126.9088	0.0001	1269089	Stimulus	S  8
126.9288	0.0001	1269289	Stimulus	S  8
157.1385	0.0001	1571386	Stimulus	S  2
163.0332	0.0001	1630333	Stimulus	S  1
163.1492	0.0001	1631493	Stimulus	S  8
163.1692	0.0001	1631693	Stimulus	S  4
163.1892	0.0001	1631893	Stimulus	S  4
163.2092	0.0001	1632093	Stimulus	S  4
163.2292	0.0001	1632293	Stimulus	S  4
163.2492	0.0001	1632493	Stimulus	S  4
163.2692	0.0001	1632693	Stimulus	S  8
163.2892	0.0001	1632893	Stimulus	S  4
163.3092	0.0001	1633093	Stimulus	S  4
197.5109	0.0001	1975110	Stimulus	S  2
200.6016	0.0001	2006017	Stimulus	S  1
200.7077	0.0001	2007078	Stimulus	S  4
200.7277	0.0001	2007278	Stimulus	S  4
200.7477	0.0001	2007478	Stimulus	S  4
200.7677	0.0001	2007678	Stimulus	S  4
200.7877	0.0001	2007878	Stimulus	S  4
200.8077	0.0001	2008078	Stimulus	S  4
200.8277	0.0001	2008278	Stimulus	S  8
200.8477	0.0001	2008478	Stimulus	S  4
200.8677	0.0001	2008678	Stimulus	S  8
231.0793	0.0001	2310794	Stimulus	S  2
248.1102	0.0001	2481103	Stimulus	S  1
248.2202	0.0001	2482203	Stimulus	S  8
248.2402	0.0001	2482403	Stimulus	S  4
248.2602	0.0001	2482603	Stimulus	S  4
248.2802	0.0001	2482803	Stimulus	S  4
248.3002	0.0001	2483003	Stimulus	S  4
248.3202	0.0001	2483203	Stimulus	S  4
248.3402	0.0001	2483403	Stimulus	S  8
248.3602	0.0001	2483603	Stimulus	S  8
248.3802	0.0001	2483803	Stimulus	S  4
