name	type	units	sampling_frequency
Fp1	EEG	μV	10000
Fz	EEG	μV	10000
F3	EEG	μV	10000
F7	EEG	μV	10000
FT9	EEG	μV	10000
FC5	EEG	μV	10000
FC1	EEG	μV	10000
C3	EEG	μV	10000
T7	EEG	μV	10000
TP9	EEG	μV	10000
CP5	EEG	μV	10000
CP1	EEG	μV	10000
Pz	EEG	μV	10000
P3	EEG	μV	10000
P7	EEG	μV	10000
O1	EEG	μV	10000
Oz	EEG	μV	10000
O2	EEG	μV	10000
P4	EEG	μV	10000
P8	EEG	μV	10000
TP10	EEG	μV	10000
CP6	EEG	μV	10000
CP2	EEG	μV	10000
Cz	EEG	μV	10000
C4	EEG	μV	10000
T8	EEG	μV	10000
FT10	EEG	μV	10000
FC6	EEG	μV	10000
FC2	EEG	μV	10000
F4	EEG	μV	10000
F8	EEG	μV	10000
Fp2	EEG	μV	10000
AF7	EEG	μV	10000
AF3	EEG	μV	10000
AFz	EEG	μV	10000
F1	EEG	μV	10000
F5	EEG	μV	10000
FT7	EEG	μV	10000
FC3	EEG	μV	10000
C1	EEG	μV	10000
C5	EEG	μV	10000
TP7	EEG	μV	10000
CP3	EEG	μV	10000
P1	EEG	μV	10000
P5	EEG	μV	10000
PO7	EEG	μV	10000
PO3	EEG	μV	10000
POz	EEG	μV	10000
PO4	EEG	μV	10000
PO8	EEG	μV	10000
P6	EEG	μV	10000
P2	EEG	μV	10000
CPz	EEG	μV	10000
CP4	EEG	μV	10000
TP8	EEG	μV	10000
C6	EEG	μV	10000
C2	EEG	μV	10000
FC4	EEG	μV	10000
FT8	EEG	μV	10000
F6	EEG	μV	10000
AF8	EEG	μV	10000
AF4	EEG	μV	10000
F2	EEG	μV	10000
