onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
8.9357	0.0001	89358	Stimulus	S  1
9.0437	0.0001	90438	Stimulus	S  8
9.0637	0.0001	90638	Stimulus	S  4
9.0837	0.0001	90838	Stimulus	S  4
9.1037	0.0001	91038	Stimulus	S  4
9.1237	0.0001	91238	Stimulus	S  4
9.1437	0.0001	91438	Stimulus	S  4
9.1637	0.0001	91638	Stimulus	S  4
9.1837	0.0001	91838	Stimulus	S  4
9.2037	0.0001	92038	Stimulus	S  4
45.4134	0.0001	454135	Stimulus	S  2
48.5582	0.0001	485583	Stimulus	S  1
48.6722	0.0001	486723	Stimulus	S  8
48.6922	0.0001	486923	Stimulus	S  4
48.7122	0.0001	487123	Stimulus	S  4
48.7322	0.0001	487323	Stimulus	S  4
48.7522	0.0001	487523	Stimulus	S  4
48.7722	0.0001	487723	Stimulus	S  4
48.7922	0.0001	487923	Stimulus	S  4
48.8122	0.0001	488123	Stimulus	S  4
48.8322	0.0001	488323	Stimulus	S  8
82.0359	0.0001	820360	Stimulus	S  2
84.3586	0.0001	843587	Stimulus	S  1
84.4666	0.0001	844667	Stimulus	S  4
84.4866	0.0001	844867	Stimulus	S  4
84.5066	0.0001	845067	Stimulus	S  4
84.5266	0.0001	845267	Stimulus	S  4
84.5466	0.0001	845467	Stimulus	S  4
84.5666	0.0001	845667	Stimulus	S  4
84.5866	0.0001	845867	Stimulus	S  4
84.6066	0.0001	846067	Stimulus	S  8
84.6266	0.0001	846267	Stimulus	S  4
114.8362	0.0001	1148363	Stimulus	S  2
119.995	0.0001	1199951	Stimulus	S  1
120.101	0.0001	1201011	Stimulus	S  8
120.121	0.0001	1201211	Stimulus	S  4
120.141	0.0001	1201411	Stimulus	S  4
120.161	0.0001	1201611	Stimulus	S  4
120.181	0.0001	1201811	Stimulus	S  4
120.201	0.0001	1202011	Stimulus	S  4
120.221	0.0001	1202211	Stimulus	S  4
120.241	0.0001	1202411	Stimulus	S  8
120.261	0.0001	1202611	Stimulus	S  8
151.726	0.0001	1517261	Stimulus	S  2
154.8714	0.0001	1548715	Stimulus	S  1
154.9834	0.0001	1549835	Stimulus	S  8
155.0034	0.0001	1550035	Stimulus	S  4
155.0234	0.0001	1550235	Stimulus	S  4
155.0434	0.0001	1550435	Stimulus	S  4
155.0634	0.0001	1550635	Stimulus	S  4
155.0834	0.0001	1550835	Stimulus	S  4
