onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
101.6984	0.0001	1016985	Stimulus	S  1
101.8124	0.0001	1018125	Stimulus	S  4
101.8324	0.0001	1018325	Stimulus	S  4
101.8524	0.0001	1018525	Stimulus	S  4
101.8724	0.0001	1018725	Stimulus	S  4
101.8924	0.0001	1018925	Stimulus	S  4
101.9124	0.0001	1019125	Stimulus	S  4
101.9324	0.0001	1019325	Stimulus	S  4
101.9524	0.0001	1019525	Stimulus	S  4
101.9724	0.0001	1019725	Stimulus	S  4
138.1762	0.0001	1381763	Stimulus	S  2
148.215	0.0001	1482151	Stimulus	S  1
148.325	0.0001	1483251	Stimulus	S  4
148.345	0.0001	1483451	Stimulus	S  4
148.365	0.0001	1483651	Stimulus	S  4
148.385	0.0001	1483851	Stimulus	S  4
148.405	0.0001	1484051	Stimulus	S  4
148.425	0.0001	1484251	Stimulus	S  4
148.445	0.0001	1484451	Stimulus	S  4
148.465	0.0001	1484651	Stimulus	S  4
148.485	0.0001	1484851	Stimulus	S  8
182.6927	0.0001	1826928	Stimulus	S  2
185.8294	0.0001	1858295	Stimulus	S  1
185.9354	0.0001	1859355	Stimulus	S  8
185.9554	0.0001	1859555	Stimulus	S  4
185.9754	0.0001	1859755	Stimulus	S  4
185.9954	0.0001	1859955	Stimulus	S  4
186.0154	0.0001	1860155	Stimulus	S  4
186.0354	0.0001	1860355	Stimulus	S  4
186.0554	0.0001	1860555	Stimulus	S  4
186.0754	0.0001	1860755	Stimulus	S  8
186.0954	0.0001	1860955	Stimulus	S  4
219.3071	0.0001	2193072	Stimulus	S  2
223.9358	0.0001	2239359	Stimulus	S  1
224.0378	0.0001	2240379	Stimulus	S  4
224.0578	0.0001	2240579	Stimulus	S  4
224.0778	0.0001	2240779	Stimulus	S  4
224.0978	0.0001	2240979	Stimulus	S  4
224.1178	0.0001	2241179	Stimulus	S  4
224.1378	0.0001	2241379	Stimulus	S  4
224.1578	0.0001	2241579	Stimulus	S  4
224.1778	0.0001	2241779	Stimulus	S  8
224.1978	0.0001	2241979	Stimulus	S  8
256.4135	0.0001	2564136	Stimulus	S  2
