onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
20.4031	0.0001	204032	Stimulus	S  1
20.5211	0.0001	205212	Stimulus	S  4
20.5411	0.0001	205412	Stimulus	S  4
20.5611	0.0001	205612	Stimulus	S  4
20.5811	0.0001	205812	Stimulus	S  4
20.6011	0.0001	206012	Stimulus	S  4
20.6211	0.0001	206212	Stimulus	S  4
20.6411	0.0001	206412	Stimulus	S  4
20.6611	0.0001	206612	Stimulus	S  4
20.6811	0.0001	206812	Stimulus	S  4
52.8809	0.0001	528810	Stimulus	S  2
61.4316	0.0001	614317	Stimulus	S  1
61.5356	0.0001	615357	Stimulus	S  8
61.5556	0.0001	615557	Stimulus	S  4
61.5756	0.0001	615757	Stimulus	S  4
61.5956	0.0001	615957	Stimulus	S  4
61.6156	0.0001	616157	Stimulus	S  4
61.6356	0.0001	616357	Stimulus	S  4
61.6556	0.0001	616557	Stimulus	S  4
61.6756	0.0001	616757	Stimulus	S  4
61.6956	0.0001	616957	Stimulus	S  8
97.9094	0.0001	979095	Stimulus	S  2
100.5741	0.0001	1005742	Stimulus	S  1
100.6841	0.0001	1006842	Stimulus	S  8
100.7041	0.0001	1007042	Stimulus	S  4
100.7241	0.0001	1007242	Stimulus	S  4
100.7441	0.0001	1007442	Stimulus	S  4
100.7641	0.0001	1007642	Stimulus	S  4
100.7841	0.0001	1007842	Stimulus	S  4
100.8041	0.0001	1008042	Stimulus	S  4
100.8241	0.0001	1008242	Stimulus	S  8
100.8441	0.0001	1008442	Stimulus	S  4
137.0518	0.0001	1370519	Stimulus	S  2
139.6265	0.0001	1396266	Stimulus	S  1
139.7385	0.0001	1397386	Stimulus	S  4
139.7585	0.0001	1397586	Stimulus	S  4
139.7785	0.0001	1397786	Stimulus	S  4
139.7985	0.0001	1397986	Stimulus	S  4
139.8185	0.0001	1398186	Stimulus	S  4
139.8385	0.0001	1398386	Stimulus	S  4
139.8585	0.0001	1398586	Stimulus	S  4
139.8785	0.0001	1398786	Stimulus	S  8
139.8985	0.0001	1398986	Stimulus	S  8
176.8536	0.0001	1768537	Stimulus	S  2
180.331	0.0001	1803311	Stimulus	S  1
180.437	0.0001	1804371	Stimulus	S  8
180.457	0.0001	1804571	Stimulus	S  4
180.477	0.0001	1804771	Stimulus	S  4
180.497	0.0001	1804971	Stimulus	S  4
180.517	0.0001	1805171	Stimulus	S  4
180.537	0.0001	1805371	Stimulus	S  4
180.557	0.0001	1805571	Stimulus	S  8
180.577	0.0001	1805771	Stimulus	S  4
180.597	0.0001	1805971	Stimulus	S  4
212.8087	0.0001	2128088	Stimulus	S  2
221.8335	0.0001	2218336	Stimulus	S  1
221.9435	0.0001	2219436	Stimulus	S  8
221.9635	0.0001	2219636	Stimulus	S  4
221.9835	0.0001	2219836	Stimulus	S  4
222.0035	0.0001	2220036	Stimulus	S  4
222.0235	0.0001	2220236	Stimulus	S  4
222.0435	0.0001	2220436	Stimulus	S  4
222.0635	0.0001	2220636	Stimulus	S  8
222.0835	0.0001	2220836	Stimulus	S  4
222.1035	0.0001	2221036	Stimulus	S  8
262.3113	0.0001	2623114	Stimulus	S  2
264.074	0.0001	2640741	Stimulus	S  1
264.184	0.0001	2641841	Stimulus	S  8
264.204	0.0001	2642041	Stimulus	S  4
264.224	0.0001	2642241	Stimulus	S  4
264.244	0.0001	2642441	Stimulus	S  4
264.264	0.0001	2642641	Stimulus	S  4
