name	type	units	sampling_frequency
Fp1	EEG	μV	10000
Fz	EEG	μV	10000
F3	EEG	μV	10000
F7	EEG	μV	10000
FT9	EEG	μV	10000
FC5	EEG	μV	10000
FC1	EEG	μV	10000
C3	EEG	μV	10000
T7	EEG	μV	10000
TP9	EEG	μV	10000
CP5	EEG	μV	10000
CP1	EEG	μV	10000
Pz	EEG	μV	10000
P3	EEG	μV	10000
P7	EEG	μV	10000
O1	EEG	μV	10000
Oz	EEG	μV	10000
O2	EEG	μV	10000
P4	EEG	μV	10000
P8	EEG	μV	10000
TP10	EEG	μV	10000
CP6	EEG	μV	10000
CP2	EEG	μV	10000
Cz	EEG	μV	10000
C4	EEG	μV	10000
T8	EEG	μV	10000
FT10	EEG	μV	10000
FC6	EEG	μV	10000
FC2	EEG	μV	10000
F4	EEG	μV	10000
F8	EEG	μV	10000
Fp2	EEG	μV	10000
EP1	EEG	μV	10000
EP2	EEG	μV	10000
