onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
35.673	0.0001	356731	Stimulus	S  1
35.777	0.0001	357771	Stimulus	S  8
35.797	0.0001	357971	Stimulus	S  4
35.817	0.0001	358171	Stimulus	S  4
35.837	0.0001	358371	Stimulus	S  4
35.857	0.0001	358571	Stimulus	S  4
35.877	0.0001	358771	Stimulus	S  4
35.897	0.0001	358971	Stimulus	S  4
35.917	0.0001	359171	Stimulus	S  4
35.937	0.0001	359371	Stimulus	S  4
72.1508	0.0001	721509	Stimulus	S  2
79.2815	0.0001	792816	Stimulus	S  1
79.3875	0.0001	793876	Stimulus	S  4
79.4075	0.0001	794076	Stimulus	S  4
79.4275	0.0001	794276	Stimulus	S  4
79.4475	0.0001	794476	Stimulus	S  4
79.4675	0.0001	794676	Stimulus	S  4
79.4875	0.0001	794876	Stimulus	S  4
79.5075	0.0001	795076	Stimulus	S  4
79.5275	0.0001	795276	Stimulus	S  4
79.5475	0.0001	795476	Stimulus	S  8
111.7592	0.0001	1117593	Stimulus	S  2
116.796	0.0001	1167961	Stimulus	S  1
116.902	0.0001	1169021	Stimulus	S  4
116.922	0.0001	1169221	Stimulus	S  4
116.942	0.0001	1169421	Stimulus	S  4
116.962	0.0001	1169621	Stimulus	S  4
116.982	0.0001	1169821	Stimulus	S  4
117.002	0.0001	1170021	Stimulus	S  4
117.022	0.0001	1170221	Stimulus	S  4
117.042	0.0001	1170421	Stimulus	S  8
117.062	0.0001	1170621	Stimulus	S  4
153.2737	0.0001	1532738	Stimulus	S  2
158.2884	0.0001	1582885	Stimulus	S  1
158.4044	0.0001	1584045	Stimulus	S  8
158.4244	0.0001	1584245	Stimulus	S  4
158.4444	0.0001	1584445	Stimulus	S  4
158.4644	0.0001	1584645	Stimulus	S  4
158.4845	0.0001	1584846	Stimulus	S  4
158.5045	0.0001	1585046	Stimulus	S  4
158.5245	0.0001	1585246	Stimulus	S  4
158.5445	0.0001	1585446	Stimulus	S  8
158.5645	0.0001	1585646	Stimulus	S  8
194.7662	0.0001	1947663	Stimulus	S  2
207.797	0.0001	2077971	Stimulus	S  1
207.905	0.0001	2079051	Stimulus	S  4
207.925	0.0001	2079251	Stimulus	S  4
207.945	0.0001	2079451	Stimulus	S  4
207.965	0.0001	2079651	Stimulus	S  4
207.985	0.0001	2079851	Stimulus	S  4
208.005	0.0001	2080051	Stimulus	S  4
208.025	0.0001	2080251	Stimulus	S  8
208.045	0.0001	2080451	Stimulus	S  4
208.065	0.0001	2080651	Stimulus	S  4
256.2749	0.0001	2562750	Stimulus	S  2
260.0376	0.0001	2600377	Stimulus	S  1
260.1496	0.0001	2601497	Stimulus	S  4
260.1696	0.0001	2601697	Stimulus	S  4
260.1896	0.0001	2601897	Stimulus	S  4
260.2096	0.0001	2602097	Stimulus	S  4
260.2296	0.0001	2602297	Stimulus	S  4
260.2496	0.0001	2602497	Stimulus	S  4
260.2696	0.0001	2602697	Stimulus	S  8
260.2896	0.0001	2602897	Stimulus	S  4
260.3096	0.0001	2603097	Stimulus	S  8
297.2647	0.0001	2972648	Stimulus	S  2
301.7621	0.0001	3017622	Stimulus	S  1
301.8681	0.0001	3018682	Stimulus	S  8
301.8881	0.0001	3018882	Stimulus	S  4
301.9081	0.0001	3019082	Stimulus	S  4
301.9281	0.0001	3019282	Stimulus	S  4
301.9481	0.0001	3019482	Stimulus	S  4
301.9681	0.0001	3019682	Stimulus	S  4
301.9881	0.0001	3019882	Stimulus	S  8
302.0081	0.0001	3020082	Stimulus	S  8
302.0281	0.0001	3020282	Stimulus	S  4
341.2439	0.0001	3412440	Stimulus	S  2
344.8486	0.0001	3448487	Stimulus	S  1
344.9586	0.0001	3449587	Stimulus	S  8
344.9786	0.0001	3449787	Stimulus	S  4
344.9986	0.0001	3449987	Stimulus	S  4
345.0186	0.0001	3450187	Stimulus	S  4
345.0386	0.0001	3450387	Stimulus	S  4
345.0586	0.0001	3450587	Stimulus	S  4
345.0786	0.0001	3450787	Stimulus	S  8
345.0986	0.0001	3450987	Stimulus	S  8
345.1186	0.0001	3451187	Stimulus	S  8
379.8304	0.0001	3798305	Stimulus	S  2
386.4891	0.0001	3864892	Stimulus	S  1
386.5931	0.0001	3865932	Stimulus	S  4
386.6131	0.0001	3866132	Stimulus	S  4
386.6331	0.0001	3866332	Stimulus	S  4
386.6531	0.0001	3866532	Stimulus	S  4
386.6731	0.0001	3866732	Stimulus	S  4
386.6931	0.0001	3866932	Stimulus	S  8
386.7131	0.0001	3867132	Stimulus	S  4
386.7331	0.0001	3867332	Stimulus	S  4
386.7531	0.0001	3867532	Stimulus	S  4
416.9668	0.0001	4169669	Stimulus	S  2
421.8815	0.0001	4218816	Stimulus	S  1
421.9895	0.0001	4219896	Stimulus	S  8
422.0095	0.0001	4220096	Stimulus	S  4
422.0295	0.0001	4220296	Stimulus	S  4
422.0495	0.0001	4220496	Stimulus	S  4
422.0695	0.0001	4220696	Stimulus	S  4
422.0895	0.0001	4220896	Stimulus	S  8
422.1095	0.0001	4221096	Stimulus	S  4
422.1295	0.0001	4221296	Stimulus	S  4
422.1495	0.0001	4221496	Stimulus	S  8
456.2379	0.0001	4562380	Stimulus	S  2
472.8941	0.0001	4728942	Stimulus	S  1
473.0001	0.0001	4730002	Stimulus	S  8
473.0201	0.0001	4730202	Stimulus	S  4
473.0401	0.0001	4730402	Stimulus	S  4
473.0601	0.0001	4730602	Stimulus	S  4
473.0801	0.0001	4730802	Stimulus	S  4
473.1001	0.0001	4731002	Stimulus	S  8
473.1201	0.0001	4731202	Stimulus	S  4
473.1401	0.0001	4731402	Stimulus	S  8
473.1601	0.0001	4731602	Stimulus	S  4
522.876	0.0001	5228761	Stimulus	S  2
526.1127	0.0001	5261128	Stimulus	S  1
526.2287	0.0001	5262288	Stimulus	S  8
526.2487	0.0001	5262488	Stimulus	S  4
526.2687	0.0001	5262688	Stimulus	S  4
526.2887	0.0001	5262888	Stimulus	S  4
526.3087	0.0001	5263088	Stimulus	S  4
526.3287	0.0001	5263288	Stimulus	S  8
526.3487	0.0001	5263488	Stimulus	S  4
526.3687	0.0001	5263688	Stimulus	S  8
526.3887	0.0001	5263888	Stimulus	S  8
572.5946	0.0001	5725947	Stimulus	S  2
575.7033	0.0001	5757034	Stimulus	S  1
575.8213	0.0001	5758214	Stimulus	S  4
575.8413	0.0001	5758414	Stimulus	S  4
575.8613	0.0001	5758614	Stimulus	S  4
