onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
21.6974	0.0001	216975	Stimulus	S  1
21.8114	0.0001	218115	Stimulus	S  8
21.8314	0.0001	218315	Stimulus	S  4
21.8514	0.0001	218515	Stimulus	S  4
21.8714	0.0001	218715	Stimulus	S  4
21.8914	0.0001	218915	Stimulus	S  4
21.9114	0.0001	219115	Stimulus	S  4
21.9314	0.0001	219315	Stimulus	S  4
21.9514	0.0001	219515	Stimulus	S  4
21.9714	0.0001	219715	Stimulus	S  4
54.1751	0.0001	541752	Stimulus	S  2
58.9078	0.0001	589079	Stimulus	S  1
59.0158	0.0001	590159	Stimulus	S  8
59.0358	0.0001	590359	Stimulus	S  4
59.0558	0.0001	590559	Stimulus	S  4
59.0758	0.0001	590759	Stimulus	S  4
59.0958	0.0001	590959	Stimulus	S  4
59.1158	0.0001	591159	Stimulus	S  4
59.1358	0.0001	591359	Stimulus	S  4
59.1558	0.0001	591559	Stimulus	S  4
59.1758	0.0001	591759	Stimulus	S  8
93.3895	0.0001	933896	Stimulus	S  2
100.4183	0.0001	1004184	Stimulus	S  1
100.5263	0.0001	1005264	Stimulus	S  4
100.5463	0.0001	1005464	Stimulus	S  4
100.5663	0.0001	1005664	Stimulus	S  4
100.5863	0.0001	1005864	Stimulus	S  4
100.6063	0.0001	1006064	Stimulus	S  4
100.6263	0.0001	1006264	Stimulus	S  4
100.6463	0.0001	1006464	Stimulus	S  4
100.6663	0.0001	1006664	Stimulus	S  8
100.6863	0.0001	1006864	Stimulus	S  4
140.8961	0.0001	1408962	Stimulus	S  2
144.6008	0.0001	1446009	Stimulus	S  1
144.7168	0.0001	1447169	Stimulus	S  8
144.7368	0.0001	1447369	Stimulus	S  4
144.7568	0.0001	1447569	Stimulus	S  4
144.7768	0.0001	1447769	Stimulus	S  4
144.7968	0.0001	1447969	Stimulus	S  4
144.8168	0.0001	1448169	Stimulus	S  4
144.8368	0.0001	1448369	Stimulus	S  4
144.8568	0.0001	1448569	Stimulus	S  8
144.8768	0.0001	1448769	Stimulus	S  8
187.5786	0.0001	1875787	Stimulus	S  2
