onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
35.57	0.0001	355701	Stimulus	S  1
35.684	0.0001	356841	Stimulus	S  4
35.704	0.0001	357041	Stimulus	S  4
35.724	0.0001	357241	Stimulus	S  4
35.744	0.0001	357441	Stimulus	S  4
35.764	0.0001	357641	Stimulus	S  4
35.784	0.0001	357841	Stimulus	S  4
35.804	0.0001	358041	Stimulus	S  4
35.824	0.0001	358241	Stimulus	S  4
35.844	0.0001	358441	Stimulus	S  4
72.0477	0.0001	720478	Stimulus	S  2
78.0785	0.0001	780786	Stimulus	S  1
78.1925	0.0001	781926	Stimulus	S  4
78.2125	0.0001	782126	Stimulus	S  4
78.2325	0.0001	782326	Stimulus	S  4
78.2525	0.0001	782526	Stimulus	S  4
78.2725	0.0001	782726	Stimulus	S  4
78.2925	0.0001	782926	Stimulus	S  4
78.3125	0.0001	783126	Stimulus	S  4
78.3325	0.0001	783326	Stimulus	S  4
78.3525	0.0001	783526	Stimulus	S  8
110.5562	0.0001	1105563	Stimulus	S  2
112.9089	0.0001	1129090	Stimulus	S  1
113.0189	0.0001	1130190	Stimulus	S  8
113.0389	0.0001	1130390	Stimulus	S  4
113.0589	0.0001	1130590	Stimulus	S  4
113.0789	0.0001	1130790	Stimulus	S  4
113.0989	0.0001	1130990	Stimulus	S  4
113.1189	0.0001	1131190	Stimulus	S  4
113.1389	0.0001	1131390	Stimulus	S  4
113.1589	0.0001	1131590	Stimulus	S  8
113.1789	0.0001	1131790	Stimulus	S  4
146.1399	0.0001	1461400	Stimulus	S  2
152.1794	0.0001	1521795	Stimulus	S  1
152.2874	0.0001	1522875	Stimulus	S  4
152.3074	0.0001	1523075	Stimulus	S  4
152.3274	0.0001	1523275	Stimulus	S  4
152.3474	0.0001	1523475	Stimulus	S  4
152.3674	0.0001	1523675	Stimulus	S  4
152.3874	0.0001	1523875	Stimulus	S  4
152.4074	0.0001	1524075	Stimulus	S  4
152.4274	0.0001	1524275	Stimulus	S  8
152.4474	0.0001	1524475	Stimulus	S  8
182.657	0.0001	1826571	Stimulus	S  2
189.6858	0.0001	1896859	Stimulus	S  1
189.7918	0.0001	1897919	Stimulus	S  4
189.8118	0.0001	1898119	Stimulus	S  4
189.8318	0.0001	1898319	Stimulus	S  4
189.8518	0.0001	1898519	Stimulus	S  4
189.8718	0.0001	1898719	Stimulus	S  4
189.8918	0.0001	1898919	Stimulus	S  4
189.9118	0.0001	1899119	Stimulus	S  8
189.9318	0.0001	1899319	Stimulus	S  4
189.9518	0.0001	1899519	Stimulus	S  4
226.1636	0.0001	2261637	Stimulus	S  2
229.4223	0.0001	2294224	Stimulus	S  1
229.5383	0.0001	2295384	Stimulus	S  4
229.5583	0.0001	2295584	Stimulus	S  4
229.5783	0.0001	2295784	Stimulus	S  4
229.5983	0.0001	2295984	Stimulus	S  4
229.6183	0.0001	2296184	Stimulus	S  4
229.6383	0.0001	2296384	Stimulus	S  4
229.6583	0.0001	2296584	Stimulus	S  8
229.6783	0.0001	2296784	Stimulus	S  4
229.6983	0.0001	2296984	Stimulus	S  8
261.9	0.0001	2619001	Stimulus	S  2
265.5227	0.0001	2655228	Stimulus	S  1
