onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
34.8127	0.0001	348128	Stimulus	S  1
34.9267	0.0001	349268	Stimulus	S  4
34.9467	0.0001	349468	Stimulus	S  4
34.9667	0.0001	349668	Stimulus	S  4
34.9867	0.0001	349868	Stimulus	S  4
35.0067	0.0001	350068	Stimulus	S  4
35.0267	0.0001	350268	Stimulus	S  4
35.0467	0.0001	350468	Stimulus	S  4
35.0667	0.0001	350668	Stimulus	S  4
35.0867	0.0001	350868	Stimulus	S  4
67.2904	0.0001	672905	Stimulus	S  2
75.9851	0.0001	759852	Stimulus	S  1
76.1011	0.0001	761012	Stimulus	S  4
76.1211	0.0001	761212	Stimulus	S  4
76.1411	0.0001	761412	Stimulus	S  4
76.1611	0.0001	761612	Stimulus	S  4
76.1811	0.0001	761812	Stimulus	S  4
76.2011	0.0001	762012	Stimulus	S  4
76.2211	0.0001	762212	Stimulus	S  4
76.2411	0.0001	762412	Stimulus	S  4
76.2611	0.0001	762612	Stimulus	S  8
109.4629	0.0001	1094630	Stimulus	S  2
112.9756	0.0001	1129757	Stimulus	S  1
113.0796	0.0001	1130797	Stimulus	S  4
113.0996	0.0001	1130997	Stimulus	S  4
113.1196	0.0001	1131197	Stimulus	S  4
113.1396	0.0001	1131397	Stimulus	S  4
113.1596	0.0001	1131597	Stimulus	S  4
113.1796	0.0001	1131797	Stimulus	S  4
113.1996	0.0001	1131997	Stimulus	S  4
113.2196	0.0001	1132197	Stimulus	S  8
113.2396	0.0001	1132397	Stimulus	S  4
143.4533	0.0001	1434534	Stimulus	S  2
151.24	0.0001	1512401	Stimulus	S  1
151.346	0.0001	1513461	Stimulus	S  8
151.366	0.0001	1513661	Stimulus	S  4
151.386	0.0001	1513861	Stimulus	S  4
151.406	0.0001	1514061	Stimulus	S  4
151.426	0.0001	1514261	Stimulus	S  4
151.446	0.0001	1514461	Stimulus	S  4
151.466	0.0001	1514661	Stimulus	S  4
151.486	0.0001	1514861	Stimulus	S  8
151.506	0.0001	1515061	Stimulus	S  8
188.4671	0.0001	1884672	Stimulus	S  2
194.8665	0.0001	1948666	Stimulus	S  1
194.9745	0.0001	1949746	Stimulus	S  4
194.9945	0.0001	1949946	Stimulus	S  4
195.0145	0.0001	1950146	Stimulus	S  4
195.0345	0.0001	1950346	Stimulus	S  4
195.0545	0.0001	1950546	Stimulus	S  4
195.0745	0.0001	1950746	Stimulus	S  4
195.0945	0.0001	1950946	Stimulus	S  8
195.1145	0.0001	1951146	Stimulus	S  4
195.1345	0.0001	1951346	Stimulus	S  4
231.3443	0.0001	2313444	Stimulus	S  2
233.475	0.0001	2334751	Stimulus	S  1
233.587	0.0001	2335871	Stimulus	S  8
233.607	0.0001	2336071	Stimulus	S  4
233.627	0.0001	2336271	Stimulus	S  4
233.647	0.0001	2336471	Stimulus	S  4
233.667	0.0001	2336671	Stimulus	S  4
233.687	0.0001	2336871	Stimulus	S  4
233.707	0.0001	2337071	Stimulus	S  8
233.727	0.0001	2337271	Stimulus	S  4
233.747	0.0001	2337471	Stimulus	S  8
269.9527	0.0001	2699528	Stimulus	S  2
272.1834	0.0001	2721835	Stimulus	S  1
272.2914	0.0001	2722915	Stimulus	S  4
272.3114	0.0001	2723115	Stimulus	S  4
272.3314	0.0001	2723315	Stimulus	S  4
272.3514	0.0001	2723515	Stimulus	S  4
272.3714	0.0001	2723715	Stimulus	S  4
272.3914	0.0001	2723915	Stimulus	S  4
272.4114	0.0001	2724115	Stimulus	S  8
272.4314	0.0001	2724315	Stimulus	S  8
272.4514	0.0001	2724515	Stimulus	S  4
302.6611	0.0001	3026612	Stimulus	S  2
307.9738	0.0001	3079739	Stimulus	S  1
308.0798	0.0001	3080799	Stimulus	S  8
308.0998	0.0001	3080999	Stimulus	S  4
308.1198	0.0001	3081199	Stimulus	S  4
308.1398	0.0001	3081399	Stimulus	S  4
308.1598	0.0001	3081599	Stimulus	S  4
308.1798	0.0001	3081799	Stimulus	S  4
308.1998	0.0001	3081999	Stimulus	S  8
308.2198	0.0001	3082199	Stimulus	S  8
308.2398	0.0001	3082399	Stimulus	S  8
339.7049	0.0001	3397050	Stimulus	S  2
359.4924	0.0001	3594925	Stimulus	S  1
359.5964	0.0001	3595965	Stimulus	S  4
