onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
25.1146	0.0001	251147	Stimulus	S  1
25.2206	0.0001	252207	Stimulus	S  4
25.2406	0.0001	252407	Stimulus	S  4
25.2606	0.0001	252607	Stimulus	S  4
25.2806	0.0001	252807	Stimulus	S  4
25.3006	0.0001	253007	Stimulus	S  4
25.3206	0.0001	253207	Stimulus	S  4
25.3406	0.0001	253407	Stimulus	S  4
25.3606	0.0001	253607	Stimulus	S  4
25.3806	0.0001	253807	Stimulus	S  4
68.0924	0.0001	680925	Stimulus	S  2
75.4332	0.0001	754333	Stimulus	S  1
75.5412	0.0001	755413	Stimulus	S  4
75.5612	0.0001	755613	Stimulus	S  4
75.5812	0.0001	755813	Stimulus	S  4
75.6012	0.0001	756013	Stimulus	S  4
75.6212	0.0001	756213	Stimulus	S  4
75.6412	0.0001	756413	Stimulus	S  4
75.6612	0.0001	756613	Stimulus	S  4
75.6812	0.0001	756813	Stimulus	S  4
75.7012	0.0001	757013	Stimulus	S  8
105.9109	0.0001	1059110	Stimulus	S  2
111.3976	0.0001	1113977	Stimulus	S  1
111.5056	0.0001	1115057	Stimulus	S  4
111.5256	0.0001	1115257	Stimulus	S  4
111.5456	0.0001	1115457	Stimulus	S  4
111.5656	0.0001	1115657	Stimulus	S  4
111.5856	0.0001	1115857	Stimulus	S  4
111.6056	0.0001	1116057	Stimulus	S  4
111.6256	0.0001	1116257	Stimulus	S  4
111.6456	0.0001	1116457	Stimulus	S  8
111.6656	0.0001	1116657	Stimulus	S  4
143.8753	0.0001	1438754	Stimulus	S  2
147.696	0.0001	1476961	Stimulus	S  1
147.806	0.0001	1478061	Stimulus	S  8
147.826	0.0001	1478261	Stimulus	S  4
147.846	0.0001	1478461	Stimulus	S  4
147.866	0.0001	1478661	Stimulus	S  4
147.886	0.0001	1478861	Stimulus	S  4
147.906	0.0001	1479061	Stimulus	S  4
147.926	0.0001	1479261	Stimulus	S  4
147.946	0.0001	1479461	Stimulus	S  8
147.966	0.0001	1479661	Stimulus	S  8
178.1737	0.0001	1781738	Stimulus	S  2
191.9605	0.0001	1919606	Stimulus	S  1
192.0665	0.0001	1920666	Stimulus	S  4
192.0865	0.0001	1920866	Stimulus	S  4
192.1065	0.0001	1921066	Stimulus	S  4
192.1265	0.0001	1921266	Stimulus	S  4
192.1465	0.0001	1921466	Stimulus	S  4
192.1665	0.0001	1921666	Stimulus	S  4
192.1865	0.0001	1921866	Stimulus	S  8
192.2065	0.0001	1922066	Stimulus	S  4
192.2265	0.0001	1922266	Stimulus	S  4
235.1877	0.0001	2351878	Stimulus	S  2
238.8011	0.0001	2388012	Stimulus	S  1
238.9151	0.0001	2389152	Stimulus	S  4
238.9351	0.0001	2389352	Stimulus	S  4
238.9551	0.0001	2389552	Stimulus	S  4
238.9751	0.0001	2389752	Stimulus	S  4
238.9951	0.0001	2389952	Stimulus	S  4
239.0151	0.0001	2390152	Stimulus	S  4
239.0351	0.0001	2390352	Stimulus	S  8
239.0551	0.0001	2390552	Stimulus	S  4
239.0751	0.0001	2390752	Stimulus	S  8
275.2788	0.0001	2752789	Stimulus	S  2
278.0555	0.0001	2780556	Stimulus	S  1
278.1675	0.0001	2781676	Stimulus	S  8
278.1875	0.0001	2781876	Stimulus	S  4
278.2075	0.0001	2782076	Stimulus	S  4
278.2275	0.0001	2782276	Stimulus	S  4
278.2475	0.0001	2782476	Stimulus	S  4
278.2675	0.0001	2782676	Stimulus	S  4
278.2875	0.0001	2782876	Stimulus	S  8
278.3075	0.0001	2783076	Stimulus	S  8
278.3275	0.0001	2783276	Stimulus	S  4
314.5333	0.0001	3145334	Stimulus	S  2
319.564	0.0001	3195641	Stimulus	S  1
319.672	0.0001	3196721	Stimulus	S  8
319.692	0.0001	3196921	Stimulus	S  4
319.712	0.0001	3197121	Stimulus	S  4
319.732	0.0001	3197321	Stimulus	S  4
319.752	0.0001	3197521	Stimulus	S  4
319.772	0.0001	3197721	Stimulus	S  4
319.792	0.0001	3197921	Stimulus	S  8
319.812	0.0001	3198121	Stimulus	S  8
319.832	0.0001	3198321	Stimulus	S  8
360.0418	0.0001	3600419	Stimulus	S  2
363.1265	0.0001	3631266	Stimulus	S  1
363.2425	0.0001	3632426	Stimulus	S  8
363.2625	0.0001	3632626	Stimulus	S  4
363.2825	0.0001	3632826	Stimulus	S  4
363.3025	0.0001	3633026	Stimulus	S  4
363.3225	0.0001	3633226	Stimulus	S  4
363.3425	0.0001	3633426	Stimulus	S  8
