onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
23.9095	0.0001	239096	Stimulus	S  1
24.0275	0.0001	240276	Stimulus	S  4
24.0475	0.0001	240476	Stimulus	S  4
24.0675	0.0001	240676	Stimulus	S  4
24.0875	0.0001	240876	Stimulus	S  4
24.1075	0.0001	241076	Stimulus	S  4
24.1275	0.0001	241276	Stimulus	S  4
24.1475	0.0001	241476	Stimulus	S  4
24.1675	0.0001	241676	Stimulus	S  4
24.1875	0.0001	241876	Stimulus	S  4
60.3872	0.0001	603873	Stimulus	S  2
69.232	0.0001	692321	Stimulus	S  1
69.336	0.0001	693361	Stimulus	S  8
69.356	0.0001	693561	Stimulus	S  4
69.376	0.0001	693761	Stimulus	S  4
69.396	0.0001	693961	Stimulus	S  4
69.416	0.0001	694161	Stimulus	S  4
69.436	0.0001	694361	Stimulus	S  4
69.456	0.0001	694561	Stimulus	S  4
69.476	0.0001	694761	Stimulus	S  4
69.496	0.0001	694961	Stimulus	S  8
101.2137	0.0001	1012138	Stimulus	S  2
111.1485	0.0001	1111486	Stimulus	S  1
111.2585	0.0001	1112586	Stimulus	S  8
111.2785	0.0001	1112786	Stimulus	S  4
111.2985	0.0001	1112986	Stimulus	S  4
111.3185	0.0001	1113186	Stimulus	S  4
111.3385	0.0001	1113386	Stimulus	S  4
111.3585	0.0001	1113586	Stimulus	S  4
111.3785	0.0001	1113786	Stimulus	S  4
111.3985	0.0001	1113986	Stimulus	S  8
111.4185	0.0001	1114186	Stimulus	S  4
145.8796	0.0001	1458797	Stimulus	S  2
150.723	0.0001	1507231	Stimulus	S  1
150.829	0.0001	1508291	Stimulus	S  4
150.849	0.0001	1508491	Stimulus	S  4
150.869	0.0001	1508691	Stimulus	S  4
150.889	0.0001	1508891	Stimulus	S  4
150.909	0.0001	1509091	Stimulus	S  4
150.929	0.0001	1509291	Stimulus	S  4
150.949	0.0001	1509491	Stimulus	S  4
150.969	0.0001	1509691	Stimulus	S  8
150.989	0.0001	1509891	Stimulus	S  8
181.2007	0.0001	1812008	Stimulus	S  2
183.9074	0.0001	1839075	Stimulus	S  1
184.0154	0.0001	1840155	Stimulus	S  4
184.0354	0.0001	1840355	Stimulus	S  4
184.0554	0.0001	1840555	Stimulus	S  4
184.0754	0.0001	1840755	Stimulus	S  4
184.0954	0.0001	1840955	Stimulus	S  4
184.1154	0.0001	1841155	Stimulus	S  4
184.1354	0.0001	1841355	Stimulus	S  8
184.1554	0.0001	1841555	Stimulus	S  4
184.1754	0.0001	1841755	Stimulus	S  4
214.3851	0.0001	2143852	Stimulus	S  2
220.9998	0.0001	2209999	Stimulus	S  1
221.1138	0.0001	2211139	Stimulus	S  8
221.1338	0.0001	2211339	Stimulus	S  4
221.1538	0.0001	2211539	Stimulus	S  4
221.1738	0.0001	2211739	Stimulus	S  4
221.1938	0.0001	2211939	Stimulus	S  4
221.2138	0.0001	2212139	Stimulus	S  4
221.2338	0.0001	2212339	Stimulus	S  8
221.2538	0.0001	2212539	Stimulus	S  4
221.2738	0.0001	2212739	Stimulus	S  8
253.4775	0.0001	2534776	Stimulus	S  2
262.7723	0.0001	2627724	Stimulus	S  1
262.8763	0.0001	2628764	Stimulus	S  8
262.8963	0.0001	2628964	Stimulus	S  4
262.9163	0.0001	2629164	Stimulus	S  4
262.9363	0.0001	2629364	Stimulus	S  4
262.9563	0.0001	2629564	Stimulus	S  4
262.9763	0.0001	2629764	Stimulus	S  4
262.9963	0.0001	2629964	Stimulus	S  8
263.0163	0.0001	2630164	Stimulus	S  8
263.0363	0.0001	2630364	Stimulus	S  4
303.5035	0.0001	3035036	Stimulus	S  2
307.9669	0.0001	3079670	Stimulus	S  1
308.0729	0.0001	3080730	Stimulus	S  4
308.0929	0.0001	3080930	Stimulus	S  4
308.1129	0.0001	3081130	Stimulus	S  4
308.1329	0.0001	3081330	Stimulus	S  4
308.1529	0.0001	3081530	Stimulus	S  4
308.1729	0.0001	3081730	Stimulus	S  4
308.1929	0.0001	3081930	Stimulus	S  8
308.2129	0.0001	3082130	Stimulus	S  8
308.2329	0.0001	3082330	Stimulus	S  8
340.4446	0.0001	3404447	Stimulus	S  2
345.7513	0.0001	3457514	Stimulus	S  1
345.8593	0.0001	3458594	Stimulus	S  8
345.8793	0.0001	3458794	Stimulus	S  4
345.8993	0.0001	3458994	Stimulus	S  4
345.9193	0.0001	3459194	Stimulus	S  4
345.9393	0.0001	3459394	Stimulus	S  4
345.9593	0.0001	3459594	Stimulus	S  8
345.9793	0.0001	3459794	Stimulus	S  4
345.9993	0.0001	3459994	Stimulus	S  4
346.0193	0.0001	3460194	Stimulus	S  4
376.229	0.0001	3762291	Stimulus	S  2
382.7118	0.0001	3827119	Stimulus	S  1
382.8158	0.0001	3828159	Stimulus	S  4
382.8358	0.0001	3828359	Stimulus	S  4
382.8558	0.0001	3828559	Stimulus	S  4
382.8758	0.0001	3828759	Stimulus	S  4
382.8958	0.0001	3828959	Stimulus	S  4
382.9158	0.0001	3829159	Stimulus	S  8
382.9358	0.0001	3829359	Stimulus	S  4
382.9558	0.0001	3829559	Stimulus	S  4
382.9758	0.0001	3829759	Stimulus	S  8
413.1895	0.0001	4131896	Stimulus	S  2
424.2262	0.0001	4242263	Stimulus	S  1
424.3323	0.0001	4243324	Stimulus	S  4
424.3523	0.0001	4243524	Stimulus	S  4
424.3723	0.0001	4243724	Stimulus	S  4
424.3923	0.0001	4243924	Stimulus	S  4
424.4123	0.0001	4244124	Stimulus	S  4
424.4323	0.0001	4244324	Stimulus	S  8
424.4523	0.0001	4244524	Stimulus	S  4
424.4723	0.0001	4244724	Stimulus	S  8
424.4923	0.0001	4244924	Stimulus	S  4
464.7041	0.0001	4647042	Stimulus	S  2
470.8228	0.0001	4708229	Stimulus	S  1
470.9388	0.0001	4709389	Stimulus	S  4
470.9588	0.0001	4709589	Stimulus	S  4
470.9788	0.0001	4709789	Stimulus	S  4
470.9988	0.0001	4709989	Stimulus	S  4
471.0188	0.0001	4710189	Stimulus	S  4
471.0388	0.0001	4710389	Stimulus	S  8
471.0588	0.0001	4710589	Stimulus	S  4
471.0788	0.0001	4710789	Stimulus	S  8
471.0988	0.0001	4710989	Stimulus	S  8
501.3005	0.0001	5013006	Stimulus	S  2
504.3352	0.0001	5043353	Stimulus	S  1
504.4432	0.0001	5044433	Stimulus	S  4
504.4632	0.0001	5044633	Stimulus	S  4
504.4832	0.0001	5044833	Stimulus	S  4
504.5032	0.0001	5045033	Stimulus	S  4
504.5232	0.0001	5045233	Stimulus	S  4
504.5432	0.0001	5045433	Stimulus	S  8
504.5632	0.0001	5045633	Stimulus	S  8
504.5832	0.0001	5045833	Stimulus	S  4
504.6032	0.0001	5046033	Stimulus	S  4
536.8129	0.0001	5368130	Stimulus	S  2
541.8416	0.0001	5418417	Stimulus	S  1
541.9457	0.0001	5419458	Stimulus	S  4
541.9657	0.0001	5419658	Stimulus	S  4
541.9857	0.0001	5419858	Stimulus	S  4
542.0057	0.0001	5420058	Stimulus	S  4
542.0257	0.0001	5420258	Stimulus	S  4
542.0457	0.0001	5420458	Stimulus	S  8
542.0657	0.0001	5420658	Stimulus	S  8
542.0857	0.0001	5420858	Stimulus	S  4
542.1057	0.0001	5421058	Stimulus	S  8
572.3193	0.0001	5723194	Stimulus	S  2
576.3521	0.0001	5763522	Stimulus	S  1
576.4621	0.0001	5764622	Stimulus	S  8
576.4821	0.0001	5764822	Stimulus	S  4
576.5021	0.0001	5765022	Stimulus	S  4
576.5221	0.0001	5765222	Stimulus	S  4
576.5421	0.0001	5765422	Stimulus	S  4
576.5621	0.0001	5765622	Stimulus	S  8
576.5821	0.0001	5765822	Stimulus	S  8
576.6021	0.0001	5766022	Stimulus	S  8
576.6221	0.0001	5766222	Stimulus	S  4
608.0831	0.0001	6080832	Stimulus	S  2
613.8665	0.0001	6138666	Stimulus	S  1
613.9725	0.0001	6139726	Stimulus	S  4
613.9925	0.0001	6139926	Stimulus	S  4
614.0125	0.0001	6140126	Stimulus	S  4
614.0325	0.0001	6140326	Stimulus	S  4
614.0525	0.0001	6140526	Stimulus	S  4
614.0725	0.0001	6140726	Stimulus	S  8
614.0925	0.0001	6140926	Stimulus	S  8
614.1125	0.0001	6141126	Stimulus	S  8
614.1325	0.0001	6141326	Stimulus	S  8
650.3443	0.0001	6503444	Stimulus	S  2
655.435	0.0001	6554351	Stimulus	S  1
655.541	0.0001	6555411	Stimulus	S  4
655.561	0.0001	6555611	Stimulus	S  4
655.581	0.0001	6555811	Stimulus	S  4
655.601	0.0001	6556011	Stimulus	S  4
655.621	0.0001	6556211	Stimulus	S  8
655.641	0.0001	6556411	Stimulus	S  4
655.661	0.0001	6556611	Stimulus	S  4
655.681	0.0001	6556811	Stimulus	S  4
655.701	0.0001	6557011	Stimulus	S  4
691.9128	0.0001	6919129	Stimulus	S  2
695.2015	0.0001	6952016	Stimulus	S  1
695.3195	0.0001	6953196	Stimulus	S  8
695.3395	0.0001	6953396	Stimulus	S  4
695.3595	0.0001	6953596	Stimulus	S  4
695.3795	0.0001	6953796	Stimulus	S  4
695.3995	0.0001	6953996	Stimulus	S  8
695.4195	0.0001	6954196	Stimulus	S  4
695.4395	0.0001	6954396	Stimulus	S  4
695.4595	0.0001	6954596	Stimulus	S  4
695.4795	0.0001	6954796	Stimulus	S  8
725.6792	0.0001	7256793	Stimulus	S  2
727.8959	0.0001	7278960	Stimulus	S  1
727.9979	0.0001	7279980	Stimulus	S  4
728.0179	0.0001	7280180	Stimulus	S  4
728.0379	0.0001	7280380	Stimulus	S  4
728.0579	0.0001	7280580	Stimulus	S  4
728.0779	0.0001	7280780	Stimulus	S  8
728.0979	0.0001	7280980	Stimulus	S  4
728.1179	0.0001	7281180	Stimulus	S  4
728.1379	0.0001	7281380	Stimulus	S  8
728.1579	0.0001	7281580	Stimulus	S  4
758.3735	0.0001	7583736	Stimulus	S  2
766.9143	0.0001	7669144	Stimulus	S  1
767.0203	0.0001	7670204	Stimulus	S  4
767.0403	0.0001	7670404	Stimulus	S  4
767.0603	0.0001	7670604	Stimulus	S  4
767.0803	0.0001	7670804	Stimulus	S  4
767.1003	0.0001	7671004	Stimulus	S  8
767.1203	0.0001	7671204	Stimulus	S  4
767.1403	0.0001	7671404	Stimulus	S  4
767.1603	0.0001	7671604	Stimulus	S  8
767.1803	0.0001	7671804	Stimulus	S  8
804.8921	0.0001	8048922	Stimulus	S  2
808.7368	0.0001	8087369	Stimulus	S  1
808.8508	0.0001	8088509	Stimulus	S  4
808.8708	0.0001	8088709	Stimulus	S  4
808.8908	0.0001	8088909	Stimulus	S  4
808.9108	0.0001	8089109	Stimulus	S  4
808.9308	0.0001	8089309	Stimulus	S  8
